True_Labels,LR_no_PVC,XGBoost_no_PVC,KAN_no_PVC
1,0.3865633487300858,0.011638186,0.38843694
1,0.12173508030488761,0.7074528,0.4489672
1,0.09744988511181372,0.5685456,0.27726132
1,0.10290574277041965,0.4650297,0.31486452
1,0.16168106850755337,0.21462634,0.26742202
1,0.1851722669665347,0.071179345,0.11760981
1,0.5676262640601485,0.99879766,0.99999833
1,0.8355999973070775,0.9704617,1.0
1,0.9943569612697629,0.9892814,1.0
1,0.9987868983890872,0.987965,1.0
1,0.9977089158353302,0.9875146,1.0
1,0.9873205885743831,0.99792045,1.0
1,0.9943167841191717,0.9995943,1.0
1,0.8174994565602923,0.99665666,0.99996877
1,0.9646913761130707,0.99979883,1.0
1,0.7192471227570512,0.9977469,0.9999999
1,0.9603863091261404,0.98960894,1.0
1,0.9211285535860492,0.9888653,1.0
1,0.24599588388615673,0.91510695,0.6565465
1,0.3235039093800349,0.856119,0.5721113
1,0.23980685821720157,0.04690904,0.17751218
1,0.7846302097402017,0.9983907,1.0
1,0.18045211298093408,0.3669992,0.304562
1,0.4174886372011918,0.77034456,0.73756987
